+005010CTAG1 +00010000+0000222779
+005020CTAG2 +00007000+0000518420
+006100CDE   +00017000+0000578320
+007200CFO   +00017000+0000214633
+008300CQF   +00078000+0000060418
+013010CTAG1 +00010000+0000235254
+013020CTAG2 +00008000+0000547451
+014060CCFC  +00018000+0001100000
+015100CDE   +00018000+0000610706
+016110CCDE  +00018000+0002200000
+017200CFO   +00018000+0000226653
+018210CCFO  +00018000+0003300000
+019300CQF   +00080000+0000063800
+100500CAC   +00013000+0003615200
+100710SSTAG1-00012000+0000222779
+100720SSTAG2-00010000+0000518420
+100770SSDE  -00022000+0000578320
+100775SSFO  -00029000+0000214633
+100780SSQF  -00097000+0000060418
+100790SSAC  -00008000+0003615200
+100950CAFF  +00063000+0020000000
+100999CCS   +00001000+0004650000
